"","date","lag1","lag2","lag3","lag4","lag1cum","lag2cum","lag3cum","lag4cum"
"29",2002-08-01,1.63742110642253e-06,5.53292885317536e-08,2.02274213320046e-07,3.25044080847143e-06,0.00154146085062377,0.00148725595725721,0.0013981169838974,0.00659444679961515
"30",2002-09-01,2.58586527522007e-06,2.47128436061049e-06,5.91000759697157e-06,9.96538682666651e-10,0.00154404671589899,0.00148972724161782,0.00140402699149437,0.00659444779615383
"31",2002-10-01,4.42249482314362e-05,3.58888804053335e-05,3.26434938947546e-05,6.92626762734454e-05,0.00158827166413043,0.00152561612202315,0.00143667048538912,0.00666371047242728
"32",2002-11-01,2.07395941347221e-06,3.69312582001593e-07,9.47337468537997e-07,2.17434369996234e-06,0.0015903456235439,0.00152598543460515,0.00143761782285766,0.00666588481612724
"33",2002-12-01,4.26373012562824e-06,3.69268503580517e-06,5.10538779961292e-06,6.84273703436953e-06,0.00159460935366953,0.00152967811964096,0.00144272321065727,0.00667272755316161
"34",2003-01-01,9.75271645589421e-06,7.3004800829796e-06,3.81599341967025e-06,7.03488932470225e-05,0.00160436207012542,0.00153697859972394,0.00144653920407694,0.00674307644640863
"35",2003-02-01,1.04406112414016e-06,3.31813076696695e-06,2.50466388821461e-06,2.3415521226332e-06,0.00160540613124956,0.0015402967304909,0.00144904386796516,0.00674541799853127
"36",2003-03-01,1.04720577536673e-05,6.84232239334594e-06,4.49272602821956e-06,2.27655504565719e-05,0.00161587818900323,0.00154713905288425,0.00145353659399338,0.00676818354898784
"37",2003-04-01,0.000110624124346428,0.000109030346978284,0.000115321137705336,0.000542903665273906,0.00172650231334966,0.00165616939986253,0.00156885773169871,0.00731108721426175
"38",2003-05-01,9.59815326980003e-07,7.68429635444991e-06,1.77683272137818e-06,2.03698484824603e-06,0.00172746212867664,0.00166385369621698,0.00157063456442009,0.00731312419910999
"39",2003-06-01,0.000158124735885148,9.99181886160743e-05,0.000117158638828659,0.00103118256475474,0.00188558686456179,0.00176377188483306,0.00168779320324875,0.00834430676386473
"40",2003-07-01,2.38798559127235e-06,8.67649573289453e-06,4.84193370203116e-06,2.40436728593054e-05,0.00188797485015306,0.00177244838056595,0.00169263513695078,0.00836835043672404
"41",2003-08-01,2.69078473652501e-05,3.46760893441473e-05,5.43253987744897e-05,0.000209504633271406,0.00191488269751831,0.0018071244699101,0.00174696053572527,0.00857785506999544
"42",2003-09-01,0.00015524283568748,0.000217735998569407,0.000209164420185808,0.00060864866952196,0.00207012553320579,0.00202486046847951,0.00195612495591108,0.0091865037395174
